v_100m [m/s];v/v_cut-out [-];P [W];F_out [N];F_in [N];theta_out [rad];dl_tether [m];l0_tether [m];n_crosswind_patterns [-]
5.689999999999998;0.2887755224434937;582.7637391466037;689.3793496094977;300.0;0.4363323129985824;250.0;200.0;
5.955589512054465;0.3022545646401618;1363.8902214206976;1215.5554844758726;300.0;0.4363323129985824;250.0;200.0;
6.221179024108932;0.3157336068368298;1929.7001814280209;1606.5741287190688;300.0000000001954;0.4363323129985912;249.9999999999992;200.0;
6.4867685361633995;0.32921264903349795;2475.3395695898166;1992.7865991803744;300.0000000001599;0.43633231299859104;249.99999999999926;200.0;
6.752358048217866;0.34269169123016596;3021.3050078467827;2389.3428595568967;300.0;0.4363323129985824;250.0;200.0;
7.017947560272334;0.3561707334268341;3558.6213149217033;2783.6015722471;300.0;0.4363323129985824;250.0;200.0;3.5381236286237616
7.283537072326801;0.36964977562350215;4115.514807392284;3209.885856942477;300.0;0.4363323129985824;250.0;200.0;3.7926612427548148
7.549126584381268;0.3831288178201702;4683.420646433163;3655.423331759209;340.75149747667786;0.4363323129985824;250.0;200.0;4.039982525696744
7.814716096435736;0.39660786001683834;5284.399290026512;4121.099997462385;415.63115105389795;0.43633231299858277;250.0;200.0;4.282072812330241
8.080305608490203;0.4100869022135064;5921.936302495758;4607.489836676523;485.6483855628015;0.4363323129985825;250.0;200.0;4.520103702108107
8.34589512054467;0.4235659444101745;6533.924655982202;5000.0;558.4114717417825;0.4363323129985824;250.0;200.0;4.59145983462155
8.611484632599137;0.43704498660684254;6919.170346257087;5000.0;617.1922966327772;0.43633231299858255;250.0;200.0;4.13950568975921
8.877074144653605;0.45052402880351067;7265.397237710829;5000.0;672.9046212758064;0.4363323129985824;250.0;200.0;3.767009506438843
9.142663656708072;0.46400307100017874;7576.3655772309085;4999.9999999999945;718.4715267028415;0.43633231299858244;250.0;200.0;3.4552145432948667
9.408253168762538;0.47748211319684675;7854.752536658869;4999.999999999985;776.294261148499;0.43633231299858244;249.99999999999983;200.0;3.1903584959226374
9.673842680817007;0.4909611553935149;8102.828495388789;4999.999999999994;817.0957811136802;0.43633231299858244;250.0;200.0;2.9625466979405606
9.939432192871474;0.504440197590183;8322.587571304151;4999.999999999999;858.9306608410485;0.43633231299858244;249.99999999999972;200.0;2.7644826350729814
10.20502170492594;0.5179192397868511;8516.354350040225;4999.999999999977;912.2557796102906;0.43633231299858244;249.99999999999935;200.0;2.5906676878258503
10.470611216980409;0.5313982819835191;8685.83407615735;5000.0;951.9696647694575;0.4363323129985824;249.9999999999998;200.0;2.436879487613509
10.736200729034875;0.5448773241801872;8833.164399617357;5000.0;986.1379449360438;0.44265938338637084;250.0;200.0;2.311103613700617
11.001790241089342;0.5583563663768553;8965.096381123978;4999.999999999999;1015.970108155105;0.4584089031763572;249.99999999999994;200.0;2.214493878881913
11.26737975314381;0.5718354085735234;9084.517216574046;5000.0;1046.6685936906772;0.47680952129104665;250.0;200.0;2.132219012185583
11.532969265198277;0.5853144507701914;9192.406678157298;4999.999999999992;1089.7317941957388;0.4927048711496196;249.99999999999994;200.0;2.053659933820062
11.798558777252744;0.5987934929668595;9290.574432995814;4999.999999999992;1116.3342198443904;0.5095179864222373;249.99999999999977;200.0;1.9840808900051385
12.064148289307212;0.6122725351635276;9379.334695050784;5000.0;1183.8209055643129;0.5260522210370248;250.0;200.0;1.9204813716466334
12.329737801361679;0.6257515773601957;9462.805482588268;4999.9999999999945;1262.8653645339634;0.5419958295891292;250.0;200.0;1.8617899710012955
12.595327313416146;0.6392306195568638;9541.365345735174;4999.999999999993;1306.3374258241395;0.5552490557895504;249.99999999999983;200.0;1.8029035399519278
12.860916825470614;0.6527096617535318;9613.791425130074;5000.0;1345.7281292789255;0.5740808888313338;249.99999999999994;200.0;1.758088048365094
13.12650633752508;0.6661887039501999;9681.182748063879;5000.0;1369.9386939109759;0.5879937042931045;250.0;200.0;1.7079367792069637
13.392095849579547;0.679667746146868;9741.419555733402;4999.999999999997;1456.1663371770983;0.6015439638207162;249.99999999999991;200.0;1.6605314669692717
13.657685361634016;0.6931467883435362;9796.923155197952;4999.999999999995;1436.6156636234416;0.6177115412148504;250.0;200.0;1.620604781473738
13.923274873688483;0.7066258305402042;9847.493965756652;4999.999999999993;1505.1204143165055;0.6292096494867775;249.99999999999991;200.0;1.5750827647326122
14.18886438574295;0.7201048727368722;9893.639219728158;4999.999999999999;1549.0928715000339;0.6421815143228203;249.99999999999997;200.0;1.534391396370587
14.454453897797416;0.7335839149335402;9931.569301096812;5000.0;1599.1215381838285;0.6589147312389071;250.0;200.0;1.502553737959124
14.720043409851884;0.7470629571302084;9965.901074496129;5000.0;1620.8353883534078;0.6700111732273362;250.0;200.0;1.4629258768889464
14.985632921906351;0.7605419993268765;9998.00121697341;4999.999999999998;1644.440225976168;0.6833105746930259;249.99999999999997;200.0;1.4285767979374968
15.251222433960818;0.7740210415235446;10021.903020245296;4999.999999999996;1692.9837843376147;0.6962921342922626;249.99999999999997;200.0;1.3950871924688344
